x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
282752,280984,320000,246623,311930,315150
282752,280984,340000,247316,312623,331455
282752,280984,360000,247778,313085,348915
282752,280984,380000,247778,311699,368684
282752,280984,400000,248009,313316,387991
282752,280984,420000,248009,314239,407067
282752,280984,440000,248932,314701,426836
282752,280984,460000,250318,315625,447298
282752,280984,480000,252396,316549,468453
282752,280984,500000,254706,317703,488453
282752,300984,240000,234614,343246,239769
282752,300984,260000,236693,339551,258845
282752,300984,280000,237616,336549,277691
282752,300984,340000,240388,332161,332148
282752,300984,360000,240388,331930,351224
282752,300984,380000,239464,332854,370070
282752,300984,400000,240619,334239,389608
282752,300984,420000,241311,334932,408684
282752,300984,440000,241773,334239,426836
282752,300984,460000,242928,334239,446836
282752,300984,480000,245237,336549,469608
282752,300984,500000,247547,338396,490531
282752,320984,360000,232767,351930,353072
282752,320984,380000,232536,353547,373534
282752,320984,400000,234152,355856,391917
282752,320984,420000,235769,356549,409377
282752,320984,440000,235769,355163,426605
282752,320984,460000,236462,353777,445451
282752,320984,480000,238540,355625,467760
282752,340984,440000,231381,376549,427529
262752,80984,120000,259416,121399,104065
262752,80984,140000,264959,123477,122910
262752,80984,160000,267730,124632,144065
262752,100984,80000,245560,134239,63834
262752,100984,100000,249024,136549,83141
262752,100984,120000,253874,140013,102449
262752,100984,140000,261957,142322,120370
262752,100984,160000,262419,143015,143603
262752,100984,180000,262650,143708,166605
262752,120984,80000,237708,154932,64296
262752,120984,100000,240710,156549,84758
262752,120984,120000,247177,158165,101987
262752,120984,140000,254105,160244,120139
262752,120984,160000,253874,160013,145682
262752,120984,180000,255952,160937,168222
262752,120984,200000,261264,162091,189146
262752,120984,220000,265883,163477,208684
262752,140984,60000,227316,171930,45220
262752,140984,80000,229163,174701,65913
262752,140984,100000,231704,175163,87067
262752,140984,120000,234937,175625,107529
262752,140984,140000,241634,176318,126605
262752,140984,160000,246484,176549,148684
262752,140984,180000,251103,178396,169839
262752,140984,200000,255952,179320,190301
262752,140984,220000,259878,180475,209608
262752,140984,240000,262650,179782,229146
262752,140984,260000,265190,178396,249377
262752,140984,280000,267038,177473,269608
262752,140984,320000,270271,178858,310531
262752,140984,340000,270963,180937,329839
262752,140984,360000,272118,182091,350070
262752,160984,60000,218078,189852,48915
262752,160984,80000,220619,192623,69146
262752,160984,100000,222466,193777,89608
262752,160984,120000,226161,193547,110070
262752,160984,140000,233089,192623,129377
262752,160984,160000,240018,193547,150070
262752,160984,180000,245329,195163,171224
262752,160984,200000,249255,197242,190301
262752,160984,220000,252257,196549,210301
262752,160984,260000,257800,194239,250531
262752,160984,280000,260109,193547,270762
262752,160984,300000,262650,193316,291224
262752,160984,320000,264266,194470,311455
262752,160984,340000,265652,195856,331224
262752,160984,360000,266576,196780,351686
262752,160984,380000,268423,197703,370993
262752,160984,400000,270502,196318,390531
262752,180984,60000,207917,206849,52148
262752,180984,80000,210919,208928,71917
262752,180984,100000,213459,209852,92379
262752,180984,120000,217154,209621,111917
262752,180984,140000,224314,208928,130301
262752,180984,160000,231704,209621,149608
262752,180984,180000,237708,212161,171224
262752,180984,240000,247177,211699,231917
262752,180984,260000,250641,210082,252610
262752,180984,280000,254105,209390,272379
262752,180984,300000,256183,209390,292148
262752,180984,320000,258262,210082,312610
262752,180984,340000,260109,211006,332610
262752,180984,360000,261264,212161,353303
262752,180984,380000,263342,212854,372379
262752,180984,400000,265421,212623,390301
262752,180984,420000,266345,212623,409146
262752,200984,80000,200296,224771,74688
262752,200984,100000,202836,226618,94226
262752,200984,120000,207686,226387,113072
262752,200984,140000,214614,226387,130762
262752,200984,160000,222466,227542,150531
262752,200984,220000,237939,229159,213072
262752,200984,240000,241172,228697,233996
262752,200984,260000,245098,227080,255150
262752,200984,280000,248100,226387,274688
262752,200984,300000,249948,225926,293765
262752,200984,320000,252026,226849,313303
262752,200984,340000,254105,227542,333765
262752,200984,360000,256414,228004,354457
262752,200984,380000,258262,227542,373996
262752,200984,400000,259878,228466,390531
262752,200984,420000,260340,229390,408684
262752,200984,440000,260802,230082,428453
262752,200984,460000,260571,230775,449377
262752,220984,200000,228932,248697,195381
262752,220984,220000,233320,248235,215612
262752,220984,240000,237477,246849,237229
262752,220984,260000,240710,245233,257691
262752,220984,280000,243020,244771,276767
262752,220984,300000,243482,244078,295843
262752,220984,320000,245329,244540,314226
262752,220984,340000,247639,244540,334688
262752,220984,360000,250179,244078,354457
262752,220984,380000,252488,243154,374688
262752,220984,400000,253874,245233,390993
262752,220984,420000,254336,247311,408453
262752,220984,440000,254567,248466,427991
262752,220984,460000,254567,249159,449377
262752,220984,480000,254105,250082,470301
262752,240984,180000,219002,268004,177460
262752,240984,200000,224775,269390,198152
262752,240984,220000,229625,269852,219076
262752,240984,240000,232858,267773,240231
262752,240984,260000,235861,265926,260000
262752,240984,280000,237246,264540,278614
262752,240984,300000,237015,263616,297229
262752,240984,320000,238170,262923,315612
262752,240984,340000,240710,262461,334919
262752,240984,360000,243482,262461,353765
262752,240984,380000,245329,261769,373072
262752,240984,400000,246715,263385,390531
262752,240984,420000,247177,265695,408684
262752,240984,440000,247639,267311,427991
262752,240984,460000,248562,268235,448684
262752,240984,480000,247869,269159,469377
262752,240984,500000,248100,269159,489839
262752,260984,180000,214614,288928,179769
262752,260984,200000,220388,291237,200693
262752,260984,220000,224775,291699,221848
262752,260984,240000,228701,289390,242309
262752,260984,260000,231473,287542,261386
262752,260984,280000,231473,284771,280693
262752,260984,300000,231473,283616,299076
262752,260984,320000,232627,282000,316998
262752,260984,340000,235168,282461,335150
262752,260984,360000,236322,282923,352148
262752,260984,380000,237477,282230,371455
262752,260984,400000,237939,283154,390070
262752,260984,420000,238632,285233,408915
262752,260984,440000,240018,286387,428684
262752,260984,460000,240941,286618,448453
262752,260984,480000,241865,287080,468915
262752,260984,500000,242558,287542,488915
262752,280984,200000,215307,311468,202309
262752,280984,220000,219695,312392,222309
262752,280984,240000,223390,311468,241617
262752,280984,260000,225468,308235,260924
262752,280984,280000,225237,305926,280693
262752,280984,300000,225468,304771,299538
262752,280984,320000,227778,303616,317460
262752,280984,340000,228932,303616,334688
262752,280984,360000,229856,303616,352379
262752,280984,380000,229625,302230,371455
262752,280984,400000,228932,304078,390531
262752,280984,420000,230318,305233,409839
262752,280984,440000,231473,305464,429608
262752,280984,460000,233320,305926,450531
262752,280984,480000,234475,306387,471455
262752,280984,500000,236092,307311,490301
262752,280984,520000,237939,308004,510993
262752,300984,220000,213921,332161,221848
262752,300984,240000,216693,332392,240693
262752,300984,260000,219002,329852,260231
262752,300984,280000,219233,327542,279769
262752,300984,300000,219695,325464,298614
262752,300984,320000,221080,324309,316536
262752,300984,340000,222466,323616,334688
262752,300984,360000,222004,322461,353996
262752,300984,380000,221080,323616,371686
