x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
215456,120000,240000,367848,98107,270854
215456,120000,260000,372143,95336,292978
215456,120000,280000,374360,92749,313948
215456,140000,60000,352005,140924,67482
215456,140000,80000,353760,138938,84711
215456,140000,100000,354176,136028,104757
215456,140000,120000,353437,135566,128776
215456,140000,140000,352144,135104,151316
215456,140000,160000,353299,132933,170623
215456,140000,180000,355931,129931,190485
215456,140000,200000,357779,126051,215565
215456,140000,240000,366601,117275,267620
215456,140000,260000,370157,114227,290715
215456,140000,280000,372559,111410,313810
215456,160000,40000,346786,162263,50161
215456,160000,60000,350804,160878,68914
215456,160000,80000,352837,160139,84711
215456,160000,100000,352744,158614,104665
215456,160000,120000,351728,156767,128083
215456,160000,140000,350851,155012,150254
215456,160000,160000,351266,152471,170115
215456,160000,180000,353483,148915,190947
215456,160000,200000,354453,145497,215889
215456,160000,220000,356532,142033,239538
215456,160000,240000,362398,137091,263787
215456,160000,260000,367340,132195,287944
215456,160000,280000,370111,127715,312239
215456,180000,40000,344061,181247,48452
215456,180000,60000,348541,179538,69053
215456,180000,80000,351728,179815,85450
215456,180000,100000,351359,179861,104342
215456,180000,120000,351081,178060,124295
215456,180000,140000,352282,174735,149099
215456,180000,160000,352513,172102,171686
215456,180000,180000,352883,168037,193487
215456,180000,200000,353021,164019,216489
215456,180000,220000,354453,160185,237690
215456,180000,240000,358564,156167,259815
215456,180000,260000,364799,149839,284711
215456,180000,280000,368679,144528,309837
215456,200000,40000,342213,201201,45219
215456,200000,60000,347156,199076,68545
215456,200000,80000,350573,199030,87067
215456,200000,100000,349465,198799,104573
215456,200000,120000,349742,197367,119076
215456,200000,140000,353114,192240,149145
215456,200000,160000,353760,190485,171455
215456,200000,180000,354869,187114,194364
215456,200000,200000,355285,182449,216766
215456,200000,220000,356763,177045,237967
215456,200000,240000,359626,173627,258752
215456,200000,260000,363460,169701,281246
215456,220000,60000,346925,220739,67713
215456,220000,80000,349881,220277,88129
215456,220000,100000,347571,217691,108499
215456,220000,120000,347802,214642,127113
215456,220000,140000,350019,210809,148499
215456,220000,160000,352790,207206,169145
215456,220000,180000,356855,204388,192702
215456,220000,200000,359811,201756,216166
215456,220000,220000,362120,198892,238568
215456,220000,240000,363414,196213,259584
215456,220000,260000,363414,193673,279584
215456,240000,100000,346509,235843,110300
215456,240000,120000,347202,232471,129561
215456,240000,140000,349742,228176,148545
215456,240000,160000,352467,223003,169792
215456,240000,180000,357178,222218,191686
215456,240000,200000,360966,220509,214272
215456,240000,220000,364014,219677,236674
215456,240000,240000,365307,219954,257782
215456,240000,260000,364337,218754,278337
215456,260000,140000,350943,248730,150531
215456,260000,180000,356485,243188,192563
215456,260000,200000,359950,242218,213718
215456,260000,220000,363183,242957,235103
215456,260000,240000,364753,244111,255612
195456,80000,200000,335054,83926,214318
195456,80000,220000,337271,80462,234688
195456,100000,80000,336532,102171,83141
195456,100000,100000,337502,101894,104434
195456,100000,120000,337594,102494,127344
195456,100000,140000,336670,104480,148499
195456,100000,160000,335007,104480,168683
195456,100000,180000,333807,102540,191085
195456,100000,200000,334084,99954,212794
195456,100000,220000,336162,96767,232517
195456,100000,240000,342721,89654,257598
195456,100000,260000,350804,81386,287851
195456,100000,280000,353159,78938,309468
195456,120000,80000,335608,122633,81524
195456,120000,100000,336855,120878,103141
195456,120000,120000,336855,120046,127575
195456,120000,140000,336301,120000,148776
195456,120000,160000,335793,119815,168683
195456,120000,180000,336162,118152,191593
195456,120000,200000,335654,115381,212101
195456,120000,220000,336994,112056,232055
195456,120000,240000,342675,106975,255658
195456,120000,260000,353067,98615,288868
195456,120000,280000,356023,95751,311500
195456,140000,40000,329465,145127,43926
195456,140000,60000,332098,143741,62771
195456,140000,80000,333945,142078,80693
195456,140000,100000,335377,139492,102956
195456,140000,120000,335469,138291,128499
195456,140000,140000,334592,137460,148960
195456,140000,160000,334869,136813,167944
195456,140000,180000,337040,135427,189469
195456,140000,200000,337779,132425,211131
195456,140000,220000,338472,128684,232378
195456,140000,240000,342259,125312,255196
195456,140000,260000,350804,118199,285450
195456,140000,280000,354499,114550,310946
195456,140000,300000,352051,113211,329468
195456,160000,40000,328033,165219,43880
195456,160000,60000,331220,162956,63926
195456,160000,80000,332421,161663,81663
195456,160000,100000,333252,159446,104665
195456,160000,120000,333576,157367,128499
195456,160000,140000,333160,156905,148499
195456,160000,160000,333807,156213,168545
195456,160000,180000,336208,153857,189884
195456,160000,200000,338333,151594,211270
195456,160000,220000,339442,148314,232194
195456,160000,240000,341889,145081,254549
195456,160000,260000,345123,140232,278799
195456,160000,280000,349557,133211,306281
195456,160000,300000,349557,131271,327020
195456,180000,40000,326555,184018,41201
195456,180000,60000,330620,181386,64896
195456,180000,80000,332513,181201,84480
195456,180000,100000,332329,180139,106328
195456,180000,120000,332652,178060,124619
195456,180000,140000,333760,177090,146697
195456,180000,160000,335192,177136,169884
195456,180000,180000,335931,173811,191039
195456,180000,200000,337455,170208,211639
195456,180000,220000,339580,166375,232194
195456,180000,240000,342490,162910,253995
195456,180000,260000,344522,158984,276581
195456,180000,280000,346601,153211,300785
195456,200000,40000,324615,203649,38291
195456,200000,60000,329742,201016,64573
195456,200000,80000,332513,200554,86605
195456,200000,100000,331451,199492,105774
195456,200000,120000,331821,197598,120000
195456,200000,140000,333760,194642,145358
195456,200000,160000,336901,194365,170069
195456,200000,180000,338425,191779,191501
195456,200000,200000,339026,187529,211917
195456,200000,220000,341612,182864,232609
195456,200000,240000,345123,179631,253949
195456,200000,260000,346000,177414,275057
195456,200000,280000,346093,173858,297321
195456,220000,40000,322906,223048,39215
195456,220000,60000,327895,221617,64157
195456,220000,80000,330389,219908,88406
195456,220000,100000,329603,216952,109099
195456,220000,120000,330620,214873,124896
195456,220000,140000,332005,212702,146235
195456,220000,160000,336301,210301,169191
195456,220000,180000,341335,207622,191639
195456,220000,200000,344661,203696,212886
195456,220000,220000,347755,199816,233718
195456,220000,240000,349603,198153,254457
195456,220000,260000,347940,197091,274457
195456,220000,280000,346416,194781,296027
195456,240000,60000,324800,240508,64573
195456,240000,80000,327017,238337,87944
195456,240000,100000,327664,234550,109930
195456,240000,120000,329465,232333,129007
195456,240000,140000,330989,231779,148360
195456,240000,160000,334130,227344,170023
195456,240000,180000,341335,224388,192009
195456,240000,200000,345862,221248,212517
195456,240000,220000,349788,219077,233071
195456,240000,240000,351266,219816,253210
195456,240000,260000,348217,219816,273579
195456,260000,100000,326694,253395,109007
195456,260000,120000,328680,251409,130762
195456,260000,140000,329373,251363,150623
195456,260000,180000,337964,243141,191870
195456,260000,200000,341566,242125,211593
195456,260000,220000,345400,243742,231408
195456,260000,240000,347894,245636,250854
195456,260000,260000,346416,244573,270900
175456,80000,180000,313991,90716,186513
175456,80000,200000,314453,89284,208037
175456,80000,220000,315146,86697,229884
175456,80000,240000,316347,82956,251501
175456,100000,80000,315608,105450,80970
175456,100000,100000,316301,106004,103972
175456,100000,120000,316855,107436,128268
175456,100000,140000,316624,109053,148037
175456,100000,160000,314407,108776,165589
175456,100000,180000,312975,106974,185265
175456,100000,200000,314084,105450,207482
175456,100000,220000,315100,103048,229607
175456,100000,240000,316208,100139,250438
175456,100000,260000,318564,96998,270669
175456,100000,280000,322582,91732,294549
175456,120000,60000,312790,125450,59861
175456,120000,80000,314592,125219,79538
175456,120000,100000,315931,124573,102864
175456,120000,120000,316947,124619,128960
175456,120000,140000,316578,124619,148314
175456,120000,160000,314915,124203,165173
175456,120000,180000,314499,123095,185265
175456,120000,200000,315885,121432,207944
175456,120000,220000,316670,119122,229653
175456,120000,240000,317594,117044,249930
175456,120000,260000,319765,114642,269007
175456,120000,280000,323598,109423,293210
175456,140000,40000,308541,147159,40046
175456,140000,60000,310943,145912,60370
175456,140000,80000,312790,144573,79215
175456,140000,100000,314777,142956,102864
175456,140000,120000,316070,142125,129284
175456,140000,140000,315377,141062,148499
175456,140000,160000,314315,140231,165358
175456,140000,180000,315654,139446,184988
175456,140000,200000,319072,137321,207713
175456,140000,220000,319996,134688,228822
175456,140000,240000,320273,133580,248545
175456,140000,260000,321150,132425,267667
175456,140000,280000,323275,128499,291131
175456,140000,300000,325631,123326,316535
175456,160000,40000,306878,167159,38707
175456,160000,60000,309557,165496,61016
175456,160000,80000,310943,163695,80878
175456,160000,100000,312467,161247,104434
175456,160000,120000,314130,159769,128360
175456,160000,140000,313714,158337,147898
175456,160000,160000,313252,157367,166143
175456,160000,180000,315977,157090,185774
175456,160000,200000,321566,155012,207713
175456,160000,220000,323090,151686,227667
175456,160000,240000,323183,150578,247252
175456,160000,260000,322629,150393,267436
175456,160000,280000,323090,147206,290115
175456,160000,300000,324014,142310,314318
175456,180000,40000,305724,186235,35104
175456,180000,60000,308911,184665,61201
175456,180000,80000,310389,182864,83649
175456,180000,100000,310527,180554,105589
175456,180000,120000,311867,178661,126051
175456,180000,140000,312144,177183,147667
175456,180000,160000,313021,176628,167667
175456,180000,180000,315285,176905,187436
175456,180000,200000,318795,175150,207898
175456,180000,220000,322721,170855,227667
175456,180000,240000,325908,167991,248037
175456,180000,260000,325862,167160,268776
175456,180000,280000,324938,164342,290485
175456,180000,300000,324245,160740,313210
175456,200000,40000,304246,205358,33857
175456,200000,60000,308172,204157,61755
175456,200000,80000,310204,202217,85543
175456,200000,100000,309927,199677,105681
175456,200000,120000,310573,197183,123372
175456,200000,140000,310250,194966,146882
175456,200000,160000,313068,194319,168406
175456,200000,180000,316347,194180,188499
175456,200000,200000,318610,192333,207944
175456,200000,220000,322813,188268,227344
175456,200000,240000,328864,184204,248499
175456,200000,260000,328772,183234,268914
175456,200000,280000,327109,181248,290300
175456,200000,300000,326185,178984,312979
175456,220000,40000,302491,224526,34642
175456,220000,60000,305908,223095,61109
175456,220000,80000,307525,220231,85912
175456,220000,100000,308310,216998,106882
175456,220000,120000,308911,214873,124619
175456,220000,140000,306832,213257,146513
175456,220000,160000,310712,212009,167944
175456,220000,180000,318841,210301,189284
175456,220000,200000,326093,206744,209191
175456,220000,220000,331035,202125,228360
175456,220000,240000,333621,199816,248406
175456,220000,260000,331173,199585,268129
175456,220000,280000,329002,198615,289792
175456,220000,300000,328725,197922,313025
175456,240000,60000,302814,241432,60739
175456,240000,80000,303230,238522,84711
175456,240000,100000,304661,235381,106882
175456,240000,120000,306232,233626,125820
175456,240000,140000,304107,234827,145727
175456,240000,160000,306417,233164,167159
175456,240000,180000,317640,226790,190254
175456,240000,200000,325954,223372,209053
175456,240000,220000,330342,220555,227067
175456,240000,240000,335053,219215,246559
175456,240000,260000,331681,219262,266466
175456,240000,280000,329557,218569,289607
175456,260000,100000,303137,254827,104942
175456,260000,120000,304430,252425,126605
175456,260000,140000,304754,254042,146097
175456,260000,180000,312744,246236,189746
175456,260000,200000,314268,243465,208822
175456,260000,220000,318333,244619,225727
175456,260000,240000,324661,245589,244065
175456,260000,260000,326601,243742,264804
155456,80000,100000,295793,90623,103141
155456,80000,120000,296162,94503,124619
155456,80000,180000,296070,93810,181986
155456,80000,200000,296070,91408,203926
155456,80000,220000,295885,87760,227252
155456,80000,240000,295654,84342,248545
155456,80000,260000,296347,82078,268083
155456,80000,280000,298379,78799,288914
155456,100000,80000,293991,106282,80185
155456,100000,100000,293807,109007,103141
155456,100000,120000,294499,112471,125681
155456,100000,140000,296532,113487,144665
155456,100000,160000,296070,112609,161940
155456,100000,180000,295100,110993,181386
155456,100000,200000,295700,109284,204249
155456,100000,220000,295885,106097,227898
155456,100000,240000,295238,102864,248499
155456,100000,260000,295654,100092,266974
155456,100000,280000,297779,96582,287529
155456,100000,300000,301751,93395,311131
155456,120000,80000,292098,127067,79723
155456,120000,100000,293206,129284,103141
155456,120000,120000,294777,130161,126651
155456,120000,140000,296116,129884,145404
155456,120000,160000,295977,128914,161940
155456,120000,180000,295608,128129,181062
155456,120000,200000,296393,127344,205404
155456,120000,220000,296578,125127,228545
155456,120000,240000,295238,122309,247991
155456,120000,260000,295608,118845,265866
155456,120000,280000,297917,114827,286651
155456,120000,300000,302213,111640,310254
155456,140000,60000,288403,146097,58661
155456,140000,80000,290250,147067,80046
155456,140000,100000,292375,147298,103556
155456,140000,120000,294222,147482,127021
155456,140000,140000,295146,146559,146235
155456,140000,160000,296255,145173,162633
155456,140000,180000,297317,144711,180462
155456,140000,200000,297502,145265,206282
155456,140000,220000,298933,142864,227482
155456,140000,240000,297132,140924,246143
155456,140000,260000,296532,137691,264295
155456,140000,280000,299164,133534,285450
155456,140000,300000,303044,130162,309746
155456,160000,40000,283645,164757,33903
155456,160000,60000,285539,165958,58614
155456,160000,80000,287617,166051,81339
155456,160000,100000,289650,165127,104342
155456,160000,120000,291636,165034,126282
155456,160000,140000,292837,163695,146559
155456,160000,160000,294407,161801,164526
155456,160000,180000,296994,162217,182864
155456,160000,200000,299164,163464,205312
155456,160000,220000,301612,160370,224850
155456,160000,240000,300319,158383,243695
155456,160000,260000,299026,156674,263187
155456,160000,280000,301520,152702,285173
155456,160000,300000,304291,148869,309422
155456,180000,40000,282306,184665,30393
155456,180000,60000,284061,186189,57183
155456,180000,80000,285447,185681,82263
155456,180000,100000,286694,183880,104573
155456,180000,120000,287571,183279,125958
155456,180000,140000,287848,182263,147344
155456,180000,160000,290712,179723,166513
155456,180000,180000,294361,180508,185589
155456,180000,200000,296532,181894,205127
155456,180000,220000,298425,179861,223972
155456,180000,240000,301104,175797,243418
155456,180000,260000,302490,174365,263372
155456,180000,280000,304615,170993,285635
155456,180000,300000,306139,167391,309238
155456,200000,40000,282491,204665,28268
155456,200000,60000,284477,206004,55520
155456,200000,80000,284800,205404,81848
155456,200000,100000,285262,202679,103972
155456,200000,120000,285955,200277,125589
155456,200000,140000,285955,198614,147529
155456,200000,160000,288587,197044,167113
155456,200000,180000,291636,197875,186743
155456,200000,200000,293391,198984,206097
155456,200000,220000,296809,196905,224203
155456,200000,240000,301381,191640,243834
155456,200000,260000,304476,189746,263880
155456,200000,280000,306739,187529,286235
155456,200000,300000,308079,185312,309515
155456,220000,40000,282121,224526,28130
155456,220000,60000,283645,224573,53903
155456,220000,80000,283322,223603,80046
155456,220000,100000,283691,220831,103326
155456,220000,120000,285493,217552,125404
155456,220000,140000,285493,215289,147252
155456,220000,160000,286463,214966,167205
155456,220000,180000,289834,215520,187944
155456,220000,200000,293252,214411,207298
155456,220000,220000,297225,212056,224065
155456,220000,240000,302444,207714,242679
155456,220000,260000,304014,205035,264295
155456,220000,280000,308125,203326,286882
155456,220000,300000,310250,203234,309607
155456,240000,60000,281613,242864,54966
155456,240000,80000,281290,241432,79723
155456,240000,100000,281982,239492,102633
155456,240000,120000,283969,236859,124757
155456,240000,140000,284153,235335,146651
155456,240000,160000,284615,235427,166928
155456,240000,180000,286555,234873,189145
155456,240000,200000,286278,233534,208591
155456,240000,220000,282398,235520,224434
155456,240000,240000,293252,231455,243048
155456,240000,260000,303137,223788,262402
155456,240000,280000,309834,221155,285496
155456,260000,80000,280366,259353,81386
155456,260000,100000,281428,258199,103279
155456,260000,120000,281844,256721,124850
155456,260000,140000,283276,255797,145496
155456,260000,160000,286186,255797,165958
155456,260000,180000,285955,254226,187113
155456,260000,200000,282814,253072,205866
155456,260000,220000,289003,252379,224619
155456,260000,240000,297548,250578,243880
155456,260000,260000,304014,246559,263279
155456,260000,280000,309372,244158,284850
155456,260000,300000,312467,245081,307529
155456,280000,140000,288680,275012,144434
155456,280000,160000,291312,273903,164804
155456,280000,180000,290019,271917,184942
155456,280000,200000,289557,269839,203141
155456,280000,220000,296162,268592,223187
155456,280000,240000,304107,270023,244942
155456,300000,200000,297455,288776,202032
155456,300000,220000,302398,288822,223603
135456,60000,240000,277271,66235,245681
135456,60000,260000,277594,63510,266697
135456,60000,280000,278933,61293,288268
135456,60000,300000,280735,58476,310808
135456,80000,100000,276208,89561,99954
135456,80000,180000,277917,96905,179908
135456,80000,200000,277964,93810,201986
135456,80000,220000,277779,89238,224388
135456,80000,240000,277271,84295,245589
135456,80000,260000,277455,81201,265774
135456,80000,280000,278795,79307,286836
135456,80000,300000,281705,77367,309884
135456,80000,320000,282998,73811,332886
135456,100000,80000,273714,105265,78522
135456,100000,100000,273714,107991,100647
135456,100000,120000,271728,114318,121339
135456,100000,140000,277132,115196,140647
135456,100000,160000,277409,115150,159261
135456,100000,180000,276578,115103,180231
135456,100000,200000,277363,113579,203002
135456,100000,220000,277455,109191,224711
135456,100000,240000,276347,105173,245265
135456,100000,260000,276532,101848,264342
135456,100000,280000,278241,97968,285589
135456,100000,300000,282444,95935,308914
135456,120000,80000,271081,127113,79261
135456,120000,100000,271774,131178,101801
135456,120000,120000,274222,131639,122587
135456,120000,140000,276994,131270,141109
135456,120000,160000,276901,132101,159446
135456,120000,180000,276255,133025,180462
135456,120000,200000,277132,132332,203510
135456,120000,220000,276809,128914,224203
135456,120000,240000,274499,125866,244065
135456,120000,260000,275054,122309,262633
135456,120000,280000,278102,117552,284295
135456,120000,300000,283044,114873,308129
135456,140000,60000,267617,145358,58476
135456,140000,80000,269326,147298,80462
135456,140000,100000,271682,149007,103233
135456,140000,120000,275285,149746,124018
135456,140000,140000,277594,149330,142309
135456,140000,160000,277733,149007,160739
135456,140000,180000,276716,149792,180878
135456,140000,200000,276670,149653,203048
135456,140000,220000,276347,147113,222864
135456,140000,240000,274084,143972,242817
135456,140000,260000,274684,140924,261801
135456,140000,280000,278887,137090,282864
135456,140000,300000,284107,134226,307067
135456,160000,40000,263738,163926,36444
135456,160000,60000,266139,165635,60185
135456,160000,80000,268218,166697,81663
135456,160000,100000,270573,167205,103741
135456,160000,120000,273483,167205,124526
135456,160000,140000,275700,166605,143464
135456,160000,160000,276670,165219,162817
135456,160000,180000,277040,166143,182217
135456,160000,200000,276901,167991,202171
135456,160000,220000,275469,166420,221478
135456,160000,240000,274407,162587,241524
135456,160000,260000,275885,160370,261247
135456,160000,280000,280735,157183,281894
135456,160000,300000,285769,153857,305727
135456,180000,40000,263230,183880,37552
135456,180000,60000,265862,185034,60970
135456,180000,80000,267294,185727,82171
135456,180000,100000,268541,185404,103095
135456,180000,120000,269881,184526,124526
135456,180000,140000,270435,183372,143972
135456,180000,160000,271867,181894,163372
135456,180000,180000,274268,182587,183233
135456,180000,200000,276116,185034,202817
135456,180000,220000,274176,184388,221801
135456,180000,240000,275285,180785,241432
135456,180000,260000,278749,179446,260878
135456,180000,280000,283737,176397,281155
135456,180000,300000,287293,172887,304619
135456,200000,40000,263830,203141,35889
135456,200000,60000,266047,203649,59492
135456,200000,80000,266278,204065,82217
135456,200000,100000,266509,203372,103048
135456,200000,120000,267987,201709,124342
135456,200000,140000,269557,200508,144111
135456,200000,160000,269881,199446,162633
135456,200000,180000,270019,200277,182309
135456,200000,200000,271359,202356,203972
135456,200000,220000,273114,200600,223372
135456,200000,240000,275562,196859,243002
